Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.033807
Sort by: self_time

 %self      total      self      wait     child     calls  name
  1.59      0.005     0.001     0.000     0.004      158  *Class#new 
  1.22      0.000     0.000     0.000     0.000      325   Hash#[]= 
  1.19      0.000     0.000     0.000     0.000        3   Module#public_instance_methods 
  1.10      0.000     0.000     0.000     0.000      336   Hash#delete 
  0.99      0.000     0.000     0.000     0.000       64   ActiveSupport::SafeBuffer#initialize 
  0.97      0.000     0.000     0.000     0.000      228   Symbol#to_s 
  0.94      0.000     0.000     0.000     0.000       91   Kernel#respond_to? 
  0.94      0.001     0.000     0.000     0.001      107  *Kernel#dup 
  0.93      0.000     0.000     0.000     0.000       63   String#gsub 
  0.89      0.001     0.000     0.000     0.001       30  *Array#map 
  0.88      0.001     0.000     0.000     0.001       34   Array#- 
  0.86      0.001     0.000     0.000     0.001       44   ERB::Util#html_escape 
  0.85      0.000     0.000     0.000     0.000        3   IO#write 
  0.85      0.034     0.000     0.000     0.034        1   ActiveSupport::Testing::Performance::Profiler#run 
  0.80      0.001     0.000     0.000     0.000      137  *Kernel#initialize_dup 
  0.79      0.000     0.000     0.000     0.000      108   Hash#initialize_copy 
  0.72      0.004     0.000     0.000     0.003        7   Journey::Formatter#match_route 
  0.72      0.000     0.000     0.000     0.000      115   ActiveSupport::Notifications::Fanout::Subscriber#subscribed_to? 
  0.72      0.000     0.000     0.000     0.000      190   Module#=== 
  0.71      0.001     0.000     0.000     0.000       61   Array#hash 
  0.69      0.000     0.000     0.000     0.000      125   Kernel#is_a? 
  0.65      0.001     0.000     0.000     0.001       30   Hash#each 
  0.64      0.000     0.000     0.000     0.000       80   Set#delete 
  0.63      0.001     0.000     0.000     0.000       40   #<Module:0x007f95fac30b08>#__temp__ 
  0.63      0.006     0.000     0.000     0.005        7   ActionDispatch::Routing::RouteSet#url_for 
  0.62      0.000     0.000     0.000     0.000      250   String#to_s 
  0.55      0.000     0.000     0.000     0.000        6  *Array#reject 
  0.51      0.001     0.000     0.000     0.000        5   Array#select 
  0.51      0.000     0.000     0.000     0.000        5   URI::Generic#initialize 
  0.51      0.000     0.000     0.000     0.000       38   <Class::ActiveRecord::ConnectionAdapters::Column>#value_to_integer 
  0.51      0.007     0.000     0.000     0.007        7   ActionView::Helpers::UrlHelper#link_to 
  0.50      0.000     0.000     0.000     0.000       52   Array#join 
  0.49      0.000     0.000     0.000     0.000       36   ActiveSupport::SafeBuffer#safe_concat 
  0.49      0.000     0.000     0.000     0.000      124   <Class::Hash>#allocate 
  0.48      0.001     0.000     0.000     0.001       27   ActiveSupport::SafeBuffer#concat 
  0.46      0.000     0.000     0.000     0.000       78   String#gsub! 
  0.45      0.001     0.000     0.000     0.001       62   String#html_safe 
  0.43      0.000     0.000     0.000     0.000       73   ActiveSupport::SafeBuffer#html_safe? 
  0.41      0.001     0.000     0.000     0.000        7   Hash#each_pair 
  0.39      0.001     0.000     0.000     0.001       18  *MonitorMixin#mon_synchronize 
  0.38      0.000     0.000     0.000     0.000       20   ActiveRecord::AttributeMethods#respond_to? 
  0.38      0.000     0.000     0.000     0.000       65   Hash#key? 
  0.36      0.000     0.000     0.000     0.000       10   ActiveSupport::Callbacks::ClassMethods#__callback_runner_name 
  0.35      0.000     0.000     0.000     0.000       18   MonitorMixin#mon_enter 
  0.34      0.000     0.000     0.000     0.000      110   <Class::Thread>#current 
  0.34      0.000     0.000     0.000     0.000       30   Hash#merge 
  0.34      0.000     0.000     0.000     0.000       18   MonitorMixin#mon_exit 
  0.34      0.006     0.000     0.000     0.005        4   ActionDispatch::Routing::PolymorphicRoutes#polymorphic_url 
  0.34      0.000     0.000     0.000     0.000       47   Set#add 
