Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000       45   Kernel#=== 
   NaN      0.000     0.000     0.000     0.000       45   ActiveSupport::Notifications::Fanout::Subscriber#matches? 
   NaN      0.000     0.000     0.000     0.000        2   Array#reject! 
   NaN      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#unsubscribe 
   NaN      0.000     0.000     0.000     0.000        2   <Module::ActiveSupport::Notifications>#unsubscribe 
   NaN      0.000     0.000     0.000     0.000        1   ActionController::TemplateAssertions#teardown_subscriptions 
   NaN      0.000     0.000     0.000     0.000        1   Hash#keys 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release 
   NaN      0.000     0.000     0.000     0.000        1   Mutex#synchronize 
   NaN      0.000     0.000     0.000     0.000        1   ConditionVariable#signal 
   NaN      0.000     0.000     0.000     0.000        1   MonitorMixin::ConditionVariable#signal 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#expire 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#_run__1371162033119361340__checkin__109291186151795893__callbacks 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_run_checkin_callbacks 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#checkin 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection 
   NaN      0.000     0.000     0.000     0.000        1   Hash#each_value 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionHandler#clear_active_connections! 
   NaN      0.000     0.000     0.000     0.000        2  *<Class::ActiveRecord::Base>#clear_active_connections! 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#decrement_open_transactions 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#rollback_db_transaction 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#teardown_fixtures 
   NaN      0.000     0.000     0.000     0.000        1   BrowsingTest#_run__1872042160307382491__teardown__1671519186112314292__callbacks 
   NaN      0.000     0.000     0.000     0.000        1   Hash#hash 
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_run_teardown_callbacks 
   NaN      0.000     0.000     0.000     0.000        1   Test::Unit::TestCase#teardown 
   NaN      0.000     0.000     0.000     0.000        3   Kernel#instance_variable_set 
