Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.003482
Sort by: self_time

 %self      total      self      wait     child     calls  name
  4.68      0.000     0.000     0.000     0.000        5   URI::Generic#initialize 
  2.33      0.000     0.000     0.000     0.000        2   Array#reject! 
  2.01      0.001     0.000     0.000     0.001       21  *Class#new 
  1.90      0.002     0.000     0.000     0.002        1   ActionDispatch::Integration::Session#process 
  1.69      0.000     0.000     0.000     0.000        5   URI::Parser#split 
  1.69      0.000     0.000     0.000     0.000       45   ActiveSupport::Notifications::Fanout::Subscriber#matches? 
  1.64      0.000     0.000     0.000     0.000       51   Hash#[]= 
  1.58      0.003     0.000     0.000     0.003        1   ActiveSupport::Testing::Performance::Profiler#run 
  1.49      0.000     0.000     0.000     0.000        1   <Class::Rack::MockRequest>#env_for 
  1.49      0.000     0.000     0.000     0.000       15  *Array#each 
  1.38      0.000     0.000     0.000     0.000        1   <Class::Dir>#[] 
  1.38      0.000     0.000     0.000     0.000        5   Hash#each 
  1.23      0.000     0.000     0.000     0.000        4   ActiveSupport::Callbacks::ClassMethods#__callback_runner_name 
  1.21      0.001     0.000     0.000     0.001        5   URI::Parser#parse 
  1.12      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#setup_fixtures 
  1.09      0.000     0.000     0.000     0.000        6   Rack::Utils::HeaderHash#[]= 
  1.03      0.000     0.000     0.000     0.000       45   Kernel#=== 
  1.01      0.000     0.000     0.000     0.000       11   Kernel#dup 
  1.01      0.000     0.000     0.000     0.000        2   URI::Generic#to_s 
  0.98      0.000     0.000     0.000     0.000        1   Array#select 
  0.89      0.000     0.000     0.000     0.000        1   URI::Generic#merge_path 
  0.89      0.000     0.000     0.000     0.000       10   String#split 
  0.89      0.000     0.000     0.000     0.000        6   MonitorMixin#mon_enter 
  0.86      0.000     0.000     0.000     0.000        7   Regexp#=== 
  0.86      0.000     0.000     0.000     0.000       14   Kernel#initialize_dup 
  0.86      0.000     0.000     0.000     0.000        7   URI::Generic#set_port 
  0.83      0.000     0.000     0.000     0.000        1   URI::Generic#merge 
  0.80      0.000     0.000     0.000     0.000        5   URI::Generic#set_userinfo 
  0.80      0.003     0.000     0.000     0.002        1   ActiveSupport::Testing::Performance::Metrics::Base#profile 
  0.80      0.000     0.000     0.000     0.000        6   MonitorMixin#mon_exit 
  0.78      0.000     0.000     0.000     0.000        8   URI::Generic#default_port 
  0.75      0.000     0.000     0.000     0.000        1   File#initialize 
  0.75      0.000     0.000     0.000     0.000       20   Kernel#respond_to? 
  0.75      0.000     0.000     0.000     0.000        6  *MonitorMixin#mon_synchronize 
  0.72      0.000     0.000     0.000     0.000        2   Array#collect 
  0.72      0.000     0.000     0.000     0.000       23   ActiveSupport::Notifications::Fanout::Subscriber#subscribed_to? 
  0.72      0.001     0.000     0.000     0.000        1   Rack::Test::Session#env_for 
  0.72      0.000     0.000     0.000     0.000        3  *BrowsingTest#_run__1872042160307382491__setup__109291186151795893__callbacks 
  0.66      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Instrumenter#instrument 
  0.66      0.000     0.000     0.000     0.000        1   Rack::File#serving 
  0.66      0.000     0.000     0.000     0.000        1   Rack::Response#initialize 
  0.66      0.000     0.000     0.000     0.000       19   <Class::BasicObject>#allocate 
  0.60      0.001     0.000     0.000     0.001        1   Rack::MockSession#request 
  0.57      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#initialize 
  0.57      0.000     0.000     0.000     0.000        5   MatchData#[] 
  0.57      0.000     0.000     0.000     0.000        1   ActionController::TemplateAssertions#setup_subscriptions 
  0.55      0.000     0.000     0.000     0.000       29   Kernel#class 
  0.52      0.000     0.000     0.000     0.000        5   Rack::Utils::HeaderHash#[] 
  0.49      0.000     0.000     0.000     0.000       12   String#downcase 
  0.46      0.000     0.000     0.000     0.000        1   IO#read 
  0.46      0.000     0.000     0.000     0.000        8   <Class::URI::Generic>#default_port 
  0.46      0.000     0.000     0.000     0.000        1   ActionDispatch::FileHandler#match? 
  0.46      0.000     0.000     0.000     0.000        1   Rack::File#_call 
  0.43      0.000     0.000     0.000     0.000        1   URI::Generic#merge0 
  0.43      0.000     0.000     0.000     0.000        1   <Class::IO>#open 
